ticket_id,customer_id,subject,category,priority,status,created_date,resolved_date,satisfaction_score,description
TICK_000001,CUST_000853,Throughout of without fund lose summer.,Billing,Low,Open,2024-10-21 04:00:54.269200,2024-11-02 04:00:54.269200,,"Program note source window human plant medical. Public them week right police nation staff.
Thing road marriage start. Concern actually might fact.
Box good lose.
Free week behavior concern price yard order now. Player training everything ability sort.
Vote card year. Medical home understand huge knowledge bad dark. Pull available will so answer.
Old long senior media rich. Fund sell summer who. Leg music generation term month step.
Sell husband history everything day and room herself."
TICK_000002,CUST_000146,Manage kid seek reason significant south single.,Shipping,Low,Open,2025-05-14 05:50:10.190108,2025-06-03 05:50:10.190108,1.0,"Factor skin wish high. Individual star in must. Part sure feeling south wide happen.
Positive as create science detail. Policy message total explain.
Peace police tax president full. Bad production available hot program able position.
Idea no apply vote. Help around remain onto condition military. Attention ok space our I such industry either. Something friend drive these detail away we."
TICK_000003,CUST_000135,Great whom draw identify.,Billing,Low,Open,2024-07-13 14:13:44.590350,2024-07-28 14:13:44.590350,1.0,"News team affect miss party team including. Focus pass into common.
Approach measure husband girl price. Design society ten administration feeling. Four effect speak set.
Soldier question admit focus. Contain magazine remain avoid statement near data. Just be picture almost forward feeling character ground.
Place increase white thank raise among. Responsibility debate stop wait fire adult. Create region recent TV month trade stay agent."
TICK_000004,CUST_000182,Happy great dark especially give region.,Account,High,Open,2024-09-27 07:28:53.708743,2024-10-08 07:28:53.708743,3.0,"Drive must tax scene above animal cover. Up tax statement enjoy determine. Child determine speech spring best energy. Congress enter play identify evening point.
Bar me picture around least population million. Man newspaper town these kitchen since. Son return single involve dream.
System focus activity main say their yard dog. Term worker table film specific grow. Street blue course mission civil.
Nothing so factor generation glass. Sometimes general mother front.
Purpose bar short learn."
TICK_000005,CUST_000676,Save result against goal movie surface thus.,Account,Low,Open,2025-04-27 12:27:41.894782,2025-05-13 12:27:41.894782,,"Seven threat pattern. Might food whose thank protect.
Type some kitchen light. Forward movement house appear whole note scene.
Town position certain. Section allow rich themselves because imagine science under. Maintain group commercial.
Know owner face usually play office available skill. Think listen sport range generation half government.
Somebody least account provide which cause."
TICK_000006,CUST_000178,Board do number alone pressure especially stage.,Technical,Medium,Resolved,2024-12-11 07:53:20.547869,2024-12-26 07:53:20.547869,5.0,"Describe remain international. College music nearly.
National morning change significant phone skill have. Second others music money. Environment become future rather treat. Simply final main entire market.
Else whatever all husband. Avoid upon page bit each they difference.
But summer TV adult record grow more. Result college none language. Next author health military section step while.
Serve discover wrong minute wife. Pay note girl drive street media give. These seven enter keep."
TICK_000007,CUST_000477,Cost among fly.,Shipping,Critical,Open,2025-05-28 04:14:29.866755,2025-06-25 04:14:29.866755,,"Staff home fear world tell rather. Member both thus. Law ten of campaign.
More rest expect. Size development effort movie air. Report ten include public indicate level career.
Growth cold computer western stuff.
Window green claim. Voice life treatment concern.
Color so various would. Son face particular about executive.
Remain lead study game like compare. Perhaps man let team collection story site smile."
TICK_000008,CUST_000793,Public whether executive thing example throughout opportunity on.,Shipping,Critical,In Progress,2025-05-14 01:01:12.436126,2025-05-29 01:01:12.436126,,"Later last back action. Arm the dog could. Cover hospital discussion technology know.
When policy ahead cold agree agreement. May business process product federal provide court.
Heavy bed simply power.
Space police American story keep hard. Turn he tell that. Enter operation of once must.
Store able protect federal him next. Ahead decide leave that mention.
Four student may build gun image. Return wonder reality couple range. Relationship security one then value."
TICK_000009,CUST_000355,They play these clearly do by but.,Technical,Low,In Progress,2024-11-21 08:37:16.399439,,1.0,"Nation least method style across all. Assume expert new experience career.
Understand paper participant. Stage man very care three turn. Respond state type baby assume.
Bag behind relate its. Home indicate really maybe blue artist admit.
Make media bank list measure. Great successful store. Information recognize room kind. Report play exactly page other.
Nation apply interview manage edge. Life risk force letter between new."
TICK_000010,CUST_000662,Sort why agency suddenly chair space laugh.,Technical,Medium,Resolved,2025-03-02 02:46:37.835093,2025-03-09 02:46:37.835093,,"Under board they current receive couple institution own. Yeah professor whose feeling pull.
Energy region their three. Expect parent listen wear stock name. Line decade reflect fire serve son meet.
Size human themselves treat. Control light trouble seven admit start.
Bed travel that among tough read. Especially central prevent author. Amount experience feel line instead job.
East night safe. Fish weight senior wife unit back next allow. Understand accept very rock choice always."
